metric,node,pod,namespace,container,timestamp,value
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396200,0.001152460876622212
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396215,0.0011478394895782945
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396230,0.0011037204098045424
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396245,0.0011205026272123855
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396260,0.0011219644592785523
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396275,0.0011544872036098792
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396290,0.001187440996971323
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396305,0.001229272383551517
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396320,0.001211407927925463
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396335,0.001211471393179136
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396350,0.0011715628915512973
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396365,0.0011765237190868867
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396380,0.0011646454859163314
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396395,0.00120294494888135
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396410,0.0012184331151986825
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396425,0.0013044653025104608
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396440,0.0013002225041966655
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396455,0.0013066030164080877
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396470,0.0012646219872818132
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396485,0.0012728532825560422
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396500,0.0012672259048100792
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396515,0.0013054675591955985
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396530,0.001288068129874333
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396545,0.0013189555939642028
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396560,0.001282028648524516
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396575,0.0012574405633307927
cpu,minikube,monitoring-kube-state-metrics-868694bc4b-689cm,monitoring,,1780396590,0.0011993890416084991
